molec	we	wexe	Re	Be	De	ae	name
AlBr	378	1.28	2.295	0.1591971	1.13E-07	8.60E-04	Ammonia Dimer
AlC	654.836	4.2933	1.955	0.531006	1.41E-06	0.005147	Aluminum carbide
AlI	316.25	0.981	2.537	0.1176999	6.52E-08	5.59E-04	mercapto anion
Ar2	29.75706	2.20388	3.758	0.05975	1.13E-06	0.00375	phosphorus chloride
AsN	1068.54	5.41	1.618	0.54551	5.30E-07	0.003366	Argon diatomic
AsO	967.08	4.85	1.66	0.48482	4.90E-07	0.003299	Potassium Chloride
AsP	604.02	1.98	1.9	0.1925	7.80E-08	0.0008	Potassium diatomic
BBr	684.31	3.52	1.888	0.4894	0.000001	0.0035	Calcium diatomic
BrO	726	4.92	1.718	0.4296066	5.92E-07		Scandium monoxide
CBr	727.9894	3.9518	1.821	0.491221	8.31E-07	4.15E-03	Vanadium monoxide
CSe	1035.36	4.86	1.676	0.575	7.10E-07	0.00379	Copper monofluoride
CuF	622.65	3.95	1.745	0.3794029	5.63E-07	0.0032298	Zinc, protonated
GaBr	266.661	0.658	2.035	8.28E-02	3.19E-08	3.28E-04	Zinc sulfide
GaCl	365.3	1.2	2.202	0.1499045	1.01E-07	0.0007936	Gallium monohydride
GaF	622.2	3.2	1.774	0.3595161	0.0000005	0.0028642	Gallium monofluoride
GaH	1604.52	28.77	1.663	6.137	0.000342	0.181	Gallium monochloride
GeF	665.67	3.15	1.745	0.36578	4.47	0.002675	germylidene
GeH	1833.77	37	1.588	6.725	0.000326	0.1916	Germanium monoxide
GeO	985.5	4.29	1.625	0.4856962	4.72E-07	0.0030756	Germanium monofluoride
GeS	579.2035	1.687161	2.012	0.1897855	8.15E-08	7.69E-04	Germanium monosulfide
GeSe	408.7	1.36	2.135	9.63E-02	2.21E-08	2.89E-04	Arsenic mononitride
HBr+	2441.52	47.4	1.448	8.0721	0.000348	0.2363	Arsenic monoxide
HI	2309.014	39.6435	1.609	6.426365	0.0002069	0.16886	Arsenic monophosphide
HI+	2195.243	39.597	2.3525	6.330697	0.0002086	0.175393	Carbon monoselenide
HS-	2645.634	52.155	1.3432	9.562	0.0005012	0.29676	Nitrogen monoselenide
I2	214.502	0.6147	2.665	0.037372	4.25E-09	0.0001138	Selenium monoxide
IBr	268.64	0.814	2.469	0.0568325	1.02E-08	0.0001969	Silicon Monoselenide
ICl	384.29	1.501	2.3209	0.1141587	4.03E-08	0.0005354	Germanium monoselenide
IF	610.24	3.123	1.91	0.27971	2.37E-07	0.001873	hydrogen bromide cation
K2	92.021	0.2829	3.905	0.056743	8.63E-08	0.000165	Boron monobromide
KBr	213	0.8	2.821	8.12E-02	4.46E-08	4.05E-04	Carbon monobromide
KCl	281	1.3	2.667	0.1286348	1.0874	0.0007899	Bromine monoxide
KI	186.53	0.574	3.048	6.09E-02	2.59E-08	2.68E-04	Aluminum monobromide
KrH+	2489.497	48.32927	1.42	8.346252	-3.75E-04	-0.2654275	Silicon monobromide
LiI	498.1	3.3	2.392	0.5130686	1.45E-06	-5.10E-03	Silicon monobromide cation
NaI	258	1	2.711	0.1178056	9.73E-08	0.0006477	Potassium Bromide
NSe	956.81	5.64	1.652	0.5182	6.50E-07	0.004	Protonated Krypton
PCl	551.384	2.22594	2.018	0.252874	2.12E-07	1.51E-03	Antimony nitride
SbF	605	2.6	1.918	0.2792	2.30E-07	0.002	Antimony monofluoride
SbN	864.8	4.75	1.918	0.3988	5.70E-07	0.0026	Tellurium monoxide
ScO	964.9	4.2	1.639	0.51343	5.85E-07	0.0033	Hydrogen iodide
SeO	914.69	4.52	1.639	0.4655	0.0000005	0.00323	Hydrogen iodide cation
SiBr	424.14	1.41	2.209	0.1671	1.20E-07	0.0008	Lithium Iodide
SiBr+	535.7	1.73	2.095	0.1858737	-8.95E-05	7.95E-04	Iodine monofluoride
SiSe	580	1.78	2.058	0.1920117	8.42E-08	0.0007767	Sodium Iodide
TeO	797.11	4	1.825	0.3554	2.70E-07	0.00237	Aluminum monoiodide
TiO	1009.02	4.498	1.62	0.53541	6.03E-07	0.00301	Iodine monochloride
VO	1011.3	4.86	1.5893	0.54825	0.0000006	0.00352	Potassium Iodide
ZnH+	1916	39	1.515	7.407	0.00048	0.238	Iodine monobromide
ZnS	459	2.09	2.046	0.0038372	1.28E-07	1.09E-03	Iodine diatomic
