molec	atom1	atom2	r_nat [A]	k_force [N/m]	Do [kcal/mol]	morse_fxn	a0	a1	a2	score
Al2	Al	Al	2.701	239.57	45.0	302605.566901005*(-0.0121946067623139 + exp(-1.63152961630762*r))**2	302605.5669	-0.01219460676	-1.631529616	8
AlBr	Al	Br	2.295	167.12	105.0	6301.95225975448*(-0.129079446691867 + exp(-0.892081567912668*r))**2	6301.95226	-0.1290794467	-0.8920815679	6
AlCl	Al	Cl	2.13	216.74	118.0	6996.43384599242*(-0.129868145114779 + exp(-0.958326578212498*r))**2	6996.433846	-0.1298681451	-0.9583265782	6
AlF	Al	F	1.654	413.06	158.0	6937.21751940782*(-0.150916209050141 + exp(-1.14330743841461*r))**2	6937.217519	-0.1509162091	-1.143307438	8
AlH	Al	H	1.648	169.0	68.1	2677.03273099956*(-0.159494868686674 + exp(-1.11392204400374*r))**2	2677.032731	-0.1594948687	-1.113922044	7
AlI	Al	I	2.537	168.02	87.0	12733.0298305559*(-0.0826596854010136 + exp(-0.98266585567427*r))**2	12733.02983	-0.0826596854	-0.9826658557	6
AlO	Al	O	1.618	551.06	114.6	17311.0638868882*(-0.0813636511793415 + exp(-1.55057271409963*r))**2	17311.06389	-0.08136365118	-1.550572714	8
AlP	Al	P	2.4	133.91	50.8	12563.1315839215*(-0.0635891327373674 + exp(-1.14804695506047*r))**2	12563.13158	-0.06358913274	-1.148046955	7
AlS	Al	S	2.029	321.23	55.58	55060.227492971*(-0.0317716866393976 + exp(-1.69994073092711*r))**2	55060.22749	-0.03177168664	-1.699940731	8
As2	As	As	2.103	409.0	90.8	50048.4410260014*(-0.0425939235667181 + exp(-1.50073403478825*r))**2	50048.44103	-0.04259392357	-1.500734035	7
AsH	As	H	1.535	269.26	55.81	6569.15277876591*(-0.0921724921535093 + exp(-1.55315540239723*r))**2	6569.152779	-0.09217249215	-1.553155402	8
AsN	As	N	1.618	778.26	138.0	31609.4783808575*(-0.0660740425398844 + exp(-1.67922083380824*r))**2	31609.47838	-0.06607404254	-1.679220834	9
B2	B	B	1.59	358.0	71.0	11068.9793565256*(-0.0800894637164123 + exp(-1.58780564319547*r))**2	11068.97936	-0.08008946372	-1.587805643	7
BBr	B	Br	1.888	257.15	103.5	6961.81242946637*(-0.121929562611309 + exp(-1.11457190499356*r))**2	6961.812429	-0.1219295626	-1.114571905	7
BCl	B	Cl	1.719	335.46	40.52	44205.9832959992*(-0.0302756998279497 + exp(-2.03456071792076*r))**2	44205.9833	-0.03027569983	-2.034560718	9
BeCl	Be	Cl	1.797	303.72	110.0	7504.87966730138*(-0.12106663624082 + exp(-1.17496615038283*r))**2	7504.879667	-0.1210666362	-1.17496615	7
