molec	atom1	atom2	r_nat [A]	k_force [N/m]	Do [kcal/mol]	amu diff	fxn
Al2	Al	Al	2.701	239.570	45.000	0.000	302605.566901005*(-0.0121946067623139 + exp(-1.63152961630762*r))**2
AlBr	Al	Br	2.295	167.120	105.000	52.922	6301.95225975448*(-0.129079446691867 + exp(-0.892081567912668*r))**2
AlCl	Al	Cl	2.130	216.739	118.000	8.471	6996.43384599242*(-0.129868145114779 + exp(-0.958326578212498*r))**2
AlF	Al	F	1.654	413.059	158.000	7.983	6937.21751940782*(-0.150916209050141 + exp(-1.14330743841461*r))**2
AlH	Al	H	1.648	169.000	68.100	25.974	2677.03273099956*(-0.159494868686674 + exp(-1.11392204400374*r))**2
AlI	Al	I	2.537	168.020	87.000	99.923	12733.0298305559*(-0.0826596854010136 + exp(-0.98266585567427*r))**2
AlO	Al	O	1.618	551.061	114.600	10.982	17311.0638868882*(-0.0813636511793415 + exp(-1.55057271409963*r))**2
AlP	Al	P	2.400	133.906	50.800	3.992	12563.1315839215*(-0.0635891327373674 + exp(-1.14804695506047*r))**2
AlS	Al	S	2.029	321.228	55.580	5.083	55060.227492971*(-0.0317716866393976 + exp(-1.69994073092711*r))**2
As2	As	As	2.103	409.000	90.800	0.000	50048.4410260014*(-0.0425939235667181 + exp(-1.50073403478825*r))**2
AsH	As	H	1.535	269.260	55.810	73.914	6569.15277876591*(-0.0921724921535093 + exp(-1.55315540239723*r))**2
AsN	As	N	1.618	778.260	138.000	60.915	31609.4783808575*(-0.0660740425398844 + exp(-1.67922083380824*r))**2
B2	B	B	1.590	358.000	71.000	0.000	11068.9793565256*(-0.0800894637164123 + exp(-1.58780564319547*r))**2
BBr	B	Br	1.888	257.148	103.500	69.093	6961.81242946637*(-0.121929562611309 + exp(-1.11457190499356*r))**2
BCl	B	Cl	1.719	335.456	40.520	24.642	44205.9832959992*(-0.0302756998279497 + exp(-2.03456071792076*r))**2
BeCl	Be	Cl	1.797	303.725	110.000	26.441	7504.87966730138*(-0.12106663624082 + exp(-1.17496615038283*r))**2
BeH	Be	H	1.343	210.881	53.000	8.004	2342.14458019796*(-0.150428832381849 + exp(-1.4104729569418*r))**2
BeO	Be	O	1.331	699.434	106.400	6.987	13270.3024258138*(-0.0895427449798754 + exp(-1.81295204370716*r))**2
BeS	Be	S	1.742	402.963	62.380	23.053	32684.1153740491*(-0.0436872107606971 + exp(-1.79718707213097*r))**2
BF	B	F	1.267	771.985	185.000	8.187	7191.02621784613*(-0.16039485309977 + exp(-1.44444883344217*r))**2
BH	B	H	1.232	279.667	78.210	9.803	2109.29672944702*(-0.192558326689335 + exp(-1.33713975272687*r))**2
BN	B	N	1.325	798.111	92.000	3.196	22945.7849688725*(-0.0633202256682558 + exp(-2.08267960757916*r))**2
BO	B	O	1.205	1317.881	171.000	5.188	19390.5954732641*(-0.0939079763899845 + exp(-1.96302070605423*r))**2
Br2	Br	Br	2.281	249.000	46.100	0.000	83103.9226395233*(-0.0235526457964438 + exp(-1.64336568030949*r))**2
BrCl	Br	Cl	2.136	281.388	51.458	44.451	60153.7548006932*(-0.0292479263678863 + exp(-1.65353305300699*r))**2
BrF	Br	F	1.759	396.319	54.980	60.906	43731.1531164698*(-0.0354574013443688 + exp(-1.89847826330998*r))**2
BrO	Br	O	1.718	402.638	55.200	63.905	39058.8483145871*(-0.0375932456068192 + exp(-1.90973858139677*r))**2
C2	C	Cl	1.243	1220.000	145.000	23.442	23758.5764310817*(-0.07812207923846 + exp(-2.05107204937421*r))**2
CaCl	Ca	Cl	2.437	177.339	80.000	4.625	13539.1952923064*(-0.0768685284570371 + exp(-1.05279390195802*r))**2
CaF	Ca	F	1.967	291.906	72.600	21.080	19205.0145408264*(-0.0614838409150409 + exp(-1.41788555569052*r))**2
CaO	Ca	O	1.822	352.167	84.460	24.079	16282.2655342306*(-0.0720224883546828 + exp(-1.44389509905271*r))**2
CaS	Ca	S	2.318	221.115	79.500	8.013	18823.8589856631*(-0.0649874107405463 + exp(-1.17927597444337*r))**2
CBr	C	Br	1.821	318.909	53.700	67.893	28545.4575599996*(-0.0433729177300475 + exp(-1.72318508956131*r))**2
CCl	C	Cl	1.649	396.411	104.160	23.442	9851.34450674064*(-0.102825950374438 + exp(-1.37945271210949*r))**2
CF	C	F	1.276	717.016	125.000	6.988	9416.60148966488*(-0.115214704623571 + exp(-1.69354066972128*r))**2
CH	C	H	1.120	528.670	81.000	11.003	4633.09272210789*(-0.132223002102663 + exp(-1.80648693926316*r))**2
Cl2	Cl	Cl	1.988	320.548	57.100	0.000	44628.9569948505*(-0.0357692377633732 + exp(-1.67538583265653*r))**2
ClF	Cl	F	1.628	435.482	59.500	16.455	30171.1671200876*(-0.0444081240660481 + exp(-1.91298086721204*r))**2
ClO	Cl	Cl	1.596	742.213	63.300	0.000	143866.112684849*(-0.0209759964345261 + exp(-2.42128854758117*r))**2
CN	C	N	1.172	1588.555	172.900	1.996	26282.7016822002*(-0.0811077761337041 + exp(-2.14332460680975*r))**2
CO	C	O	1.128	1856.317	255.790	3.989	18803.2700839591*(-0.116633978175396 + exp(-1.90488886480013*r))**2
CrH	Cr	H	1.655	137.087	66.900	50.988	1907.68649934843*(-0.187266268079717 + exp(-1.01221980750947*r))**2
CS	C	S	1.535	832.962	181.360	20.054	19010.5945522912*(-0.0976726349028871 + exp(-1.51539664643617*r))**2
CuF	Cu	F	1.745	325.926	70.000	44.548	14379.2843387458*(-0.0697718734157566 + exp(-1.525801896896*r))**2
F2	F	F	1.412	447.314	36.600	0.000	39378.7263751078*(-0.0304866503486825 + exp(-2.47200168886002*r))**2
FH	F	H	0.917	1011.670	135.500	17.990	4686.70654486375*(-0.170033998185434 + exp(-1.93212308898691*r))**2
GaCl	Ga	Cl	2.202	182.464	113.500	34.270	5885.08364447515*(-0.138874213012042 + exp(-0.896542551279919*r))**2
